Tangential Velocity,Orbital Period 1,Orbital Period 2,Orbital Period 3,Orbital Period 4,Orbital Period 5,Average Orbital Period,Absolute Uncertainty Orbital Period,Theoretical Period
8628.49,7389.89,7389.89,7389.89,7389.89,7389.89,7389.89,0.000,7389.888497
8726.54,7795.65,7795.65,7795.65,7795.65,7795.65,7795.65,0.000,7795.648634
8824.60,8245.21,8245.21,8245.21,8245.21,8245.21,8245.21,0.000,8245.209531
8922.65,8745.51,8745.51,8745.50,8745.51,8745.51,8745.51,0.005,8745.506592
9020.70,9304.97,9304.96,9304.96,9304.96,9304.96,9304.96,0.005,9304.961343
9118.75,9933.90,9933.89,9933.89,9933.89,9933.89,9933.89,0.005,9933.890841
9216.80,10645.06,10645.06,10645.06,10645.06,10645.05,10645.06,0.005,10645.05758
9314.85,11454.42,11454.42,11454.42,11454.42,11454.42,11454.42,0.000,11454.41858
9412.90,12382.17,12382.16,12382.16,12382.16,12382.16,12382.16,0.005,12382.16201
9510.95,13454.17,13454.17,13454.16,13454.17,13454.17,13454.17,0.005,13454.16653
9609.00,14704.10,14704.10,14704.09,14704.10,14704.09,14704.10,0.005,14704.09593
9707.06,16176.48,16176.47,16176.47,16176.47,16176.47,16176.47,0.005,16176.47105
9805.11,17931.29,17931.29,17931.28,17931.29,17931.29,17931.29,0.005,17931.28596
